config,dipole_l,dipole_m,dipole_h,muL_SCEE,delta_mu,mu_liquid
46,2.6045,2.9537,3.3261,3.115554149326352,1.5373686945374707,3.2273686945374704
99,2.4321,2.7095,3.0034,2.654352595654054,1.075883727005672,2.765883727005672
23,2.6108,2.9639,3.3331,3.135209432217352,1.5570360558344067,3.247036055834407
122,2.2004,2.4566,2.7386,2.2675477801994477,0.688841215375178,2.3788412153751777
142,2.1791,2.4334,2.723,2.2331357330880826,0.6544080216501305,2.34440802165013
107,2.4885,2.8467,3.2691,2.9087187625382387,1.3304062049354484,3.0204062049354485
189,2.3133,2.6047,2.9221,2.4713017647207836,0.8927204091519509,2.5827204091519507
64,2.3802,2.6592,2.9688,2.568813027858985,0.9902915941252173,2.680291594125217
173,2.4425,2.7564,3.122,2.722775713435956,1.1443488916101294,2.834348891610129
126,2.4435,2.8028,3.2163,2.811695572595993,1.2333233930849425,2.9233233930849423
161,2.4009,2.6645,2.9424,2.587567302362119,1.009057393353879,2.699057393353879
181,2.2006,2.4122,2.6418,2.2519135439819387,0.6731973717329074,2.363197371732907
160,2.555,2.893,3.2464,2.9833615931882354,1.4050949044957945,3.0950949044957943
92,2.5583,2.8953,3.2753,2.9967654845791993,1.4185070327380036,3.1085070327380038
30,2.422,2.693,2.9779,2.630090457509309,1.051606679487451,2.741606679487451
146,2.2015,2.4526,2.7268,2.267517267568356,0.68881068399371,2.37881068399371
