Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
298.0,77.0,1000.5,0.00099951,1.8667,2.0053,6.5416,74.098,74.942,1509.0,-0.022135,892.08,0.61053,liquid
298.0,78.0,1000.5,0.00099947,1.8665,2.007,6.5412,74.092,74.937,1509.2,-0.022135,892.07,0.61059,liquid
298.0,79.0,1000.6,0.00099942,1.8664,2.0086,6.5407,74.086,74.932,1509.4,-0.022134,892.06,0.61065,liquid
298.0,80.0,1000.6,0.00099938,1.8662,2.0103,6.5402,74.08,74.927,1509.5,-0.022134,892.04,0.6107,liquid
298.0,81.0,1000.7,0.00099933,1.8661,2.0119,6.5397,74.074,74.922,1509.7,-0.022134,892.03,0.61076,liquid
298.0,82.0,1000.7,0.00099929,1.866,2.0136,6.5393,74.069,74.917,1509.9,-0.022133,892.02,0.61081,liquid
298.0,83.0,1000.8,0.00099925,1.8658,2.0153,6.5388,74.063,74.912,1510.0,-0.022133,892.01,0.61087,liquid
298.0,84.0,1000.8,0.0009992,1.8657,2.0169,6.5383,74.057,74.907,1510.2,-0.022133,892.0,0.61092,liquid
298.0,85.0,1000.8,0.00099916,1.8656,2.0186,6.5378,74.051,74.902,1510.4,-0.022132,891.99,0.61098,liquid
298.0,86.0,1000.9,0.00099911,1.8654,2.0202,6.5374,74.045,74.898,1510.5,-0.022132,891.97,0.61103,liquid
298.0,87.0,1000.9,0.00099907,1.8653,2.0219,6.5369,74.04,74.893,1510.7,-0.022132,891.96,0.61109,liquid
298.0,88.0,1001.0,0.00099902,1.8652,2.0235,6.5364,74.034,74.888,1510.9,-0.022131,891.95,0.61114,liquid
298.0,89.0,1001.0,0.00099898,1.865,2.0252,6.5359,74.028,74.883,1511.0,-0.022131,891.94,0.6112,liquid
298.0,90.0,1001.1,0.00099894,1.8649,2.0269,6.5354,74.022,74.878,1511.2,-0.022131,891.93,0.61125,liquid
298.0,91.0,1001.1,0.00099889,1.8648,2.0285,6.535,74.016,74.873,1511.4,-0.022131,891.92,0.61131,liquid
298.0,92.0,1001.2,0.00099885,1.8646,2.0302,6.5345,74.011,74.868,1511.5,-0.02213,891.91,0.61136,liquid
298.0,93.0,1001.2,0.0009988,1.8645,2.0318,6.534,74.005,74.863,1511.7,-0.02213,891.9,0.61142,liquid
298.0,94.0,1001.2,0.00099876,1.8643,2.0335,6.5335,73.999,74.858,1511.9,-0.02213,891.88,0.61147,liquid
298.0,95.0,1001.3,0.00099872,1.8642,2.0351,6.5331,73.993,74.853,1512.0,-0.022129,891.87,0.61153,liquid
298.0,96.0,1001.3,0.00099867,1.8641,2.0368,6.5326,73.987,74.849,1512.2,-0.022129,891.86,0.61158,liquid
298.0,97.0,1001.4,0.00099863,1.8639,2.0385,6.5321,73.982,74.844,1512.4,-0.022129,891.85,0.61164,liquid
298.0,98.0,1001.4,0.00099858,1.8638,2.0401,6.5316,73.976,74.839,1512.5,-0.022128,891.84,0.61169,liquid
298.0,99.0,1001.5,0.00099854,1.8637,2.0418,6.5311,73.97,74.834,1512.7,-0.022128,891.83,0.61175,liquid
298.0,100.0,1001.5,0.0009985,1.8635,2.0434,6.5307,73.964,74.829,1512.9,-0.022128,891.82,0.6118,liquid
298.0,200.0,1005.9,0.00099415,1.8501,2.2083,6.4818,73.405,74.36,1529.6,-0.022093,890.89,0.61722,liquid
298.0,300.0,1010.2,0.00098993,1.837,2.372,6.4313,72.875,73.924,1546.2,-0.022054,890.29,0.62246,liquid
298.0,400.0,1014.4,0.00098583,1.824,2.5344,6.3791,72.374,73.52,1562.9,-0.022012,890.03,0.62754,liquid
298.0,500.0,1018.5,0.00098185,1.8113,2.6957,6.3254,71.898,73.144,1579.6,-0.021966,890.09,0.63246,liquid
298.0,600.0,1022.5,0.00097797,1.7987,2.8558,6.2703,71.448,72.796,1596.2,-0.021917,890.48,0.63722,liquid
298.0,700.0,1026.5,0.0009742,1.7863,3.0148,6.2138,71.021,72.473,1612.9,-0.021867,891.18,0.64184,liquid
298.0,800.0,1030.4,0.00097053,1.774,3.1727,6.156,70.617,72.173,1629.5,-0.021814,892.2,0.64633,liquid
298.0,900.0,1034.2,0.00096695,1.7619,3.3297,6.097,70.233,71.894,1646.1,-0.02176,893.52,0.65067,liquid
298.0,1000.0,1037.9,0.00096346,1.75,3.4856,6.0369,69.868,71.636,1662.7,-0.021706,895.14,0.65489,liquid
298.0,1100.0,1041.6,0.00096006,1.7381,3.6407,5.9757,69.522,71.397,1679.2,-0.02165,897.05,0.65898,liquid
